pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,sy_dist,sy_disterr1,sy_disterr2,rowupdate
14 Her b,1,1,Radial Velocity,2002,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,90.000,0.500,-0.500,0,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-09-04
1RXS J160929.1-210524 b,1,1,Imaging,2008,,,,,330.000000,,,0,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1350000,1.3320000,-1.3070000,2015-04-01
1RXS J160929.1-210524 b,1,1,Imaging,2008,,,,,330.000000,,,0,,,,,,,,,4000.00000,300.00000,-300.00000,0,12.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1350000,1.3320000,-1.3070000,2015-04-01
1RXS J160929.1-210524 b,1,1,Imaging,2008,,,,,330.000000,,,0,,,,,,,,,3000.00000,1000.00000,-700.00000,0,8.00000,3.00000,-2.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1350000,1.3320000,-1.3070000,2015-04-01
1RXS J160929.1-210524 b,1,1,Imaging,2008,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,2543.00000,1271.00000,-636.00000,0,8.00000,4.00000,-2.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1350000,1.3320000,-1.3070000,2014-05-14
24 Boo b,1,1,Radial Velocity,2018,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,59.900,3.300,-3.200,0,,,,,,,,,95.9863000,0.6368500,-0.6368500,2018-04-25
2MASS J01225093-2439505 b,1,1,Imaging,2013,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8281000,0.0864000,-0.0860000,2014-05-14
2MASS J01225093-2439505 b,1,1,Imaging,2013,,,,,,,,,11.209,,,0,1.000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8281000,0.0864000,-0.0860000,2015-09-02
2MASS J02192210-3925225 b,1,1,Imaging,2015,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-14
2MASS J04414489+2301513 b,1,1,Imaging,2010,,,,,15.000000,,,0,,,,,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-14
2MASS J12073346-3932539 b,1,1,Imaging,2004,,,,,55.000000,,,0,,,,,,,,,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3080000,0.6569000,-0.6440000,2016-02-24
2MASS J12073346-3932539 b,1,1,Imaging,2004,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3080000,0.6569000,-0.6440000,2014-05-14
2MASS J21402931+1625183 A b,1,1,Imaging,2009,7336.50000000,1934.50000000,-584.00000000,0,,,,,10.310,4.370,-4.040,0,0.920,0.390,-0.360,0,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,,,,,,,,,,,,,,,,,,,,2014-05-14
