pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,sy_dist
GJ 504 b,1,1,Imaging,2013,1271.30000,4.00000,3.180000,,17.5299000
GJ 536 b,1,1,Radial Velocity,2016,5.36000,0.01686,2.880000,0.080000,10.4092000
GJ 581 b,1,3,Radial Velocity,2005,15.80000,0.04970,1.250000,0.000000,6.2981000
GJ 581 c,1,3,Radial Velocity,2007,5.50000,0.01730,2.800000,0.000000,6.2981000
GJ 581 e,1,3,Radial Velocity,2009,1.70000,0.00530,5.830000,0.000000,6.2981000
GJ 625 b,1,1,Radial Velocity,2017,2.82000,0.00887,4.680000,0.130000,6.4724900
GJ 649 b,1,1,Radial Velocity,2009,104.24400,0.32800,0.293000,0.300000,10.3796000
GJ 674 b,1,1,Radial Velocity,2007,11.09000,0.03500,1.650000,0.200000,4.5489600
GJ 682 b,1,2,Radial Velocity,2014,4.40000,0.01384,3.360000,0.080000,5.0067100
GJ 682 c,1,2,Radial Velocity,2014,8.70000,0.02737,1.980000,0.100000,5.0067100
GJ 685 b,1,1,Radial Velocity,2019,9.00000,0.02832,1.930000,0.000000,14.3155000
GJ 687 b,1,2,Radial Velocity,2014,17.20000,0.05412,1.170000,0.170000,4.5493900
GJ 687 c,1,2,Radial Velocity,2020,16.00000,0.05034,1.240000,0.400000,4.5493900
GJ 832 b,1,2,Radial Velocity,2008,216.00000,0.68000,0.433000,0.080000,4.9643500
GJ 832 c,1,2,Radial Velocity,2014,5.40000,0.01700,2.860000,0.180000,4.9643500
GJ 849 b,1,1,Radial Velocity,2006,317.83000,1.00000,0.665000,0.040000,8.8005800
GJ 876 b,1,4,Radial Velocity,1998,723.22350,2.27560,1.690000,0.032400,4.6751700
GJ 876 c,1,4,Radial Velocity,2000,226.98460,0.71420,0.455000,0.255910,4.6751700
GJ 876 d,1,4,Radial Velocity,2005,6.83000,0.02100,2.370000,0.207000,4.6751700
GJ 876 e,1,4,Radial Velocity,2010,14.60000,0.04600,1.330000,0.055000,4.6751700
GJ 887 b,1,2,Radial Velocity,2020,4.20000,0.01321,3.470000,0.000000,3.2900000
GJ 887 c,1,2,Radial Velocity,2020,7.60000,0.02391,2.190000,,3.2900000
GJ 9066 b,1,2,Radial Velocity,2020,30.90000,0.09722,0.748000,0.180000,4.4710000
